sample	year	month	habitat	core	depth	order
20110600_P2S	2011	6	palsa	2	surface	1
20110600_P3S	2011	6	palsa	3	surface	2
20110700_P1S	2011	7	palsa	1	surface	3
20110700_P2S	2011	7	palsa	2	surface	4
20110700_P3S	2011	7	palsa	3	surface	5
20110800_P1S	2011	8	palsa	1	surface	6
20110800_P3S	2011	8	palsa	3	surface	7
20111000_P1S	2011	10	palsa	1	surface	8
20111000_P2S	2011	10	palsa	2	surface	9
20111000_P3S	2011	10	palsa	3	surface	10
20120600_P1S	2012	6	palsa	1	surface	11
20120600_P2S	2012	6	palsa	2	surface	12
20120600_P3S	2012	6	palsa	3	surface	13
20120700_P1S	2012	7	palsa	1	surface	14
20120700_P2S	2012	7	palsa	2	surface	15
20120700_P3S	2012	7	palsa	3	surface	16
20120800_P1S	2012	8	palsa	1	surface	17
20120800_P2S	2012	8	palsa	2	surface	18
20110600_P1M	2011	6	palsa	1	mid	19
20110700_P1M	2011	7	palsa	1	mid	20
20110700_P2M	2011	7	palsa	2	mid	21
20110700_P3M	2011	7	palsa	3	mid	22
20110800_P1M	2011	8	palsa	1	mid	23
20110800_P3M	2011	8	palsa	3	mid	24
20111000_P1M	2011	10	palsa	1	mid	25
20111000_P2M	2011	10	palsa	2	mid	26
20111000_P3M	2011	10	palsa	3	mid	27
20120600_P1M	2012	6	palsa	1	mid	28
20120600_P2M	2012	6	palsa	2	mid	29
20120600_P3M	2012	6	palsa	3	mid	30
20120700_P1M	2012	7	palsa	1	mid	31
20120700_P2M	2012	7	palsa	2	mid	32
20120700_P3M	2012	7	palsa	3	mid	33
20120800_P1M	2012	8	palsa	1	mid	34
20120800_P2M	2012	8	palsa	2	mid	35
20120800_P3M	2012	8	palsa	3	mid	36
20110600_P1D	2011	6	palsa	1	deep	37
20110700_P1D	2011	7	palsa	1	deep	38
20110700_P2D	2011	7	palsa	2	deep	39
20110700_P3D	2011	7	palsa	3	deep	40
20110800_P1D	2011	8	palsa	1	deep	41
20110800_P2D	2011	8	palsa	2	deep	42
20111000_P1D	2011	10	palsa	1	deep	43
20111000_P2D	2011	10	palsa	2	deep	44
20111000_P3D	2011	10	palsa	3	deep	45
20120600_P1D	2012	6	palsa	1	deep	46
20120600_P2D	2012	6	palsa	2	deep	47
20120600_P3D	2012	6	palsa	3	deep	48
20120700_P1D	2012	7	palsa	1	deep	49
20120700_P2D	2012	7	palsa	2	deep	50
20120700_P3D	2012	7	palsa	3	deep	51
20120800_P1D	2012	8	palsa	1	deep	52
20120800_P2D	2012	8	palsa	2	deep	53
20110600_S1S	2011	6	bog	1	surface	54
20110600_S2S	2011	6	bog	2	surface	55
20110600_S3S	2011	6	bog	3	surface	56
20110700_S1S	2011	7	bog	1	surface	57
20110800_S1S	2011	8	bog	1	surface	58
20110800_S2S	2011	8	bog	2	surface	59
20110800_S3S	2011	8	bog	3	surface	60
20111000_S1S	2011	10	bog	1	surface	61
20111000_S2S	2011	10	bog	2	surface	62
20111000_S3S	2011	10	bog	3	surface	63
20120600_S1S	2012	6	bog	1	surface	64
20120600_S2S	2012	6	bog	2	surface	65
20120600_S3S	2012	6	bog	3	surface	66
20120700_S1S	2012	7	bog	1	surface	67
20120700_S2S	2012	7	bog	2	surface	68
20120700_S3S	2012	7	bog	3	surface	69
20120800_S1S	2012	8	bog	1	surface	70
20120800_S2S	2012	8	bog	2	surface	71
20120800_S3S	2012	8	bog	3	surface	72
20110600_S1M	2011	6	bog	1	mid	73
20110600_S2M	2011	6	bog	2	mid	74
20110600_S3M	2011	6	bog	3	mid	75
20110700_S1M	2011	7	bog	1	mid	76
20110700_S2M	2011	7	bog	2	mid	77
20110700_S3M	2011	7	bog	3	mid	78
20110800_S1M	2011	8	bog	1	mid	79
20110800_S2M	2011	8	bog	2	mid	80
20110800_S3M	2011	8	bog	3	mid	81
20111000_S1M	2011	10	bog	1	mid	82
20111000_S2M	2011	10	bog	2	mid	83
20111000_S3M	2011	10	bog	3	mid	84
20120600_S1M	2012	6	bog	1	mid	85
20120600_S2M	2012	6	bog	2	mid	86
20120600_S3M	2012	6	bog	3	mid	87
20120700_S1M	2012	7	bog	1	mid	88
20120700_S2M	2012	7	bog	2	mid	89
