id	bp
73.20100900_E1D.1	1490347
73.20100900_E1D.12	2153367
73.20100900_E1D.13	5086121
73.20100900_E1D.14	2117930
73.20100900_E1D.16	2820612
73.20100900_E1D.19	3152022
73.20100900_E1D.29	2119568
73.20100900_E1D.30	6056979
73.20100900_E1D.4	2042607
73.20100900_E1D.45	3375833
73.20100900_E1D.52	4761301
73.20100900_E1D.68	1867748
73.20100900_E1D.85	3686914
73.20100900_E1S.1	1722922
73.20100900_E1S.8	2947344
73.20100900_E2D.1	1818960
73.20100900_E2D.10	2131233
73.20100900_E2D.12	2871487
73.20100900_E2D.14	4932775
73.20100900_E2D.31	2279173
73.20100900_E2D.36	2014081
73.20100900_E2D.5	2105865
73.20100900_E2D.50	4233660
73.20100900_E2S.12	4586714
73.20100900_E2S.9	1624289
73.20100900_E3D.1	1173977
73.20100900_E3D.15	2155351
73.20100900_E3D.17	2919840
73.20100900_E3D.20	4753779
73.20100900_E3D.21	3524250
73.20100900_E3D.23	3100530
73.20100900_E3D.24	6210408
73.20100900_E3D.38	2716163
73.20100900_E3D.40	2765508
73.20100900_E3D.41	4481690
73.20100900_E3D.43	3731013
73.20100900_E3D.5	2317180
73.20100900_E3D.53	2098161
73.20100900_E3D.6	1806630
73.20100900_E3D.91	1890673
73.20100900_E3S.13	4682241
73.20100900_E3S.14	3423927
73.20100900_E3S.15	2908155
73.20110600_E1D.1	1271260
73.20110600_E2D.1	1818521
73.20110600_E2D.10	2905809
73.20110600_E2D.3	2349525
73.20110600_E3D.1	1438521
73.20110600_E3D.7	3168554
73.20110600_E3M.1	1645626
73.20110600_E3S.10	3459015
73.20110600_P1D.1	4431244
73.20110600_P1D.3	4308035
73.20110600_P1D.32	2323939
73.20110600_P1D.4	3896755
73.20110600_P1M.1	4938030
73.20110600_P1M.11	3526287
73.20110600_P1M.13	2822123
73.20110600_P1M.14	2928805
73.20110600_P1M.15	4046717
73.20110600_P1M.18	2788772
73.20110600_P1M.19	3063140
73.20110600_P1M.2	8721485
73.20110600_P1M.3	3694353
73.20110600_P1M.35	1908427
73.20110600_P1M.36	2652667
73.20110600_P1M.4	3058177
73.20110600_P1M.45	5189750
73.20110600_P1M.47	3933913
73.20110600_P1M.5	2999009
73.20110600_P1M.6	3361272
73.20110600_P1M.7	3833552
73.20110600_P3S.2	5586781
73.20110600_P3S.21	5084330
73.20110600_P3S.23	4354418
73.20110600_P3S.3	5825690
73.20110600_P3S.5	2480913
73.20110600_P3S.6	4205842
73.20110600_S1D.10	4435667
73.20110600_S1D.13	2415001
73.20110600_S1D.14	2007820
73.20110600_S1D.17	3614498
73.20110600_S1D.18	6034862
73.20110600_S1D.2	2536229
73.20110600_S1D.20	2662211
73.20110600_S1D.22	4599469
73.20110600_S1D.24	2724402
73.20110600_S1D.26	3078575
73.20110600_S1D.31	4228821
73.20110600_S1D.32	4153025
73.20110600_S1D.37	2729199
73.20110600_S1D.4	4531811
73.20110600_S1D.5	4163257
73.20110600_S1D.6	3810820
73.20110600_S1M.12	4236247
73.20110600_S1M.13	4395341
73.20110600_S1M.14	3182182
73.20110600_S1M.3	2556715
73.20110600_S1M.31	4703248
73.20110600_S1M.35	3999261
73.20110600_S1M.4	4383505
73.20110600_S1M.41	5197939
73.20110600_S1M.43	6422270
73.20110600_S1M.56	3745792
73.20110600_S1M.6	2586824
73.20110600_S1S.1	2550484
73.20110600_S1S.2	4332602
73.20110600_S1S.25	7819467
73.20110600_S1S.3	2069433
73.20110600_S1S.7	1982839
73.20110600_S2D.10	1149523
73.20110600_S2D.12	3904221
73.20110600_S2D.18	2951204
73.20110600_S2D.23	3550282
73.20110600_S2D.25	2735094
73.20110600_S2D.27	7365013
73.20110600_S2D.29	2706196
73.20110600_S2D.3	2491980
73.20110600_S2D.31	3149391
73.20110600_S2D.34	4347747
73.20110600_S2D.36	5238957
73.20110600_S2D.37	3310351
73.20110600_S2D.41	3265170
73.20110600_S2D.50	5969823
73.20110600_S2M.15	4176028
73.20110600_S2M.16	3154575
73.20110600_S2M.5	2201742
73.20110600_S2M.8	2540879
73.20110600_S2S.1	1924639
73.20110600_S2S.11	5276219
73.20110600_S2S.3	4331579
73.20110600_S2S.4	2064627
73.20110600_S2S.5	2281226
73.20110600_S3D.13	3228828
73.20110600_S3D.15	2522094
73.20110600_S3D.19	3828712
73.20110600_S3D.21	2342948
73.20110600_S3D.3	2706790
73.20110600_S3D.6	2557154
73.20110600_S3D.8	3527783
73.20110600_S3M.17	1230150
73.20110600_S3M.21	3830069
73.20110600_S3M.3	2150121
73.20110600_S3M.32	3160871
73.20110600_S3M.34	2526683
73.20110600_S3M.35	7838404
73.20110600_S3M.38	2633639
73.20110600_S3M.44	5515153
73.20110600_S3M.45	2960852
73.20110600_S3M.49	2230951
73.20110600_S3M.50	3519107
73.20110600_S3M.8	2990892
73.20110600_S3S.1	2556174
73.20110600_S3S.2	4202907
73.20110600_S3S.5	1594175
73.20110700_E1D.1	1792073
73.20110700_E1D.10	2616217
73.20110700_E1M.1	1410528
73.20110700_E1S.2	2704803
73.20110700_E2D.11	3152342
73.20110700_E2D.5	1949665
73.20110700_E2M.1	1527426
73.20110700_E2M.5	2819008
73.20110700_E3M.1	1674641
73.20110700_E3M.12	2255272
73.20110700_E3M.3	2246519
